R_outer,R_inner,Total_flux
30000.0,27857.231428571427,4.69597160597107e-16
27857.231428571427,25714.46285714286,4.738386407490771e-16
25714.46285714286,23571.694285714286,4.727306307464369e-16
23571.694285714286,21428.925714285713,4.832074351115835e-16
21428.925714285713,19286.157142857144,4.816868918695238e-16
19286.157142857144,17143.388571428575,4.843173073596823e-16
17143.388571428575,15000.62,4.838488786126554e-16
15000.62,12857.85142857143,4.812106310949587e-16
12857.85142857143,10715.082857142861,4.756906202238285e-16
10715.082857142861,8572.314285714288,4.658905170328812e-16
8572.314285714288,6429.545714285715,4.523207366677921e-16
6429.545714285715,4286.777142857148,4.2747822386999326e-16
4286.777142857148,2144.0085714285747,3.836131526016944e-16
2144.0085714285747,1.24,2.4605464673118955e-16
