R_outer,R_inner,Total_flux
30000.0,27857.231428571427,6.453292911326283e-15
27857.231428571427,25714.46285714286,6.9648131395303555e-15
25714.46285714286,23571.694285714286,7.530262354884525e-15
23571.694285714286,21428.925714285713,8.26148164560832e-15
21428.925714285713,19286.157142857144,8.897856056133718e-15
19286.157142857144,17143.388571428575,9.666081756035815e-15
17143.388571428575,15000.62,1.0458878661753392e-14
15000.62,12857.85142857143,1.1261323071559866e-14
12857.85142857143,10715.082857142861,1.2092638510466051e-14
10715.082857142861,8572.314285714288,1.2890416499317549e-14
8572.314285714288,6429.545714285715,1.3663497808199367e-14
6429.545714285715,4286.777142857148,1.4177305772716017e-14
4286.777142857148,2144.0085714285747,1.409888923217511e-14
2144.0085714285747,1.24,1.0506170679656518e-14
