R_outer,R_inner,Total_flux
30000.0,27857.231428571427,1.003198778642085e-15
27857.231428571427,25714.46285714286,1.0359117175099838e-15
25714.46285714286,23571.694285714286,1.0694303113569564e-15
23571.694285714286,21428.925714285713,1.1199432286302533e-15
21428.925714285713,19286.157142857144,1.149064948362859e-15
19286.157142857144,17143.388571428575,1.1882124006432417e-15
17143.388571428575,15000.62,1.2214413712588352e-15
15000.62,12857.85142857143,1.2483552043266762e-15
12857.85142857143,10715.082857142861,1.2698017637804878e-15
10715.082857142861,8572.314285714288,1.2811248296866744e-15
8572.314285714288,6429.545714285715,1.2817948985486048e-15
6429.545714285715,4286.777142857148,1.2538380673282701e-15
4286.777142857148,2144.0085714285747,1.1737209671665655e-15
2144.0085714285747,1.24,8.690319782970135e-16
