R_outer,R_inner,Total_flux
30000.0,27857.231428571427,1.4229882767900428e-17
27857.231428571427,25714.46285714286,1.440241262276003e-17
25714.46285714286,23571.694285714286,1.4605601723396466e-17
23571.694285714286,21428.925714285713,1.4988838213562777e-17
21428.925714285713,19286.157142857144,1.5081585628499863e-17
19286.157142857144,17143.388571428575,1.528816400953035e-17
17143.388571428575,15000.62,1.5398853647568662e-17
15000.62,12857.85142857143,1.5413037781868783e-17
12857.85142857143,10715.082857142861,1.5344690327286064e-17
10715.082857142861,8572.314285714288,1.5151596383393084e-17
8572.314285714288,6429.545714285715,1.4819323945932564e-17
6429.545714285715,4286.777142857148,1.4170697469675748e-17
4286.777142857148,2144.0085714285747,1.2969066837923959e-17
2144.0085714285747,1.24,9.67310107499142e-18
