R_outer,R_inner,Total_flux
30000.0,27857.231428571427,3.163569062215039e-16
27857.231428571427,25714.46285714286,3.2138199837930375e-16
25714.46285714286,23571.694285714286,3.264915759715438e-16
23571.694285714286,21428.925714285713,3.3629686927955486e-16
21428.925714285713,19286.157142857144,3.3937838088667734e-16
19286.157142857144,17143.388571428575,3.451120594013317e-16
17143.388571428575,15000.62,3.4877991912708827e-16
15000.62,12857.85142857143,3.503476555117518e-16
12857.85142857143,10715.082857142861,3.5011516528828507e-16
10715.082857142861,8572.314285714288,3.469297250475765e-16
8572.314285714288,6429.545714285715,3.406647206800002e-16
6429.545714285715,4286.777142857148,3.2684984515734526e-16
4286.777142857148,2144.0085714285747,2.998189484257453e-16
2144.0085714285747,1.24,2.192142154800023e-16
