R.A. (J2000) (deg),Decl. (J2000) (deg),Summed flux (0.5-8.0 keV),net cts,Tot Exp (ks)
10.561201 deg,41.370464 deg,3.6e-15,44.44,339
10.562487 deg,41.355925 deg,6.99e-15,133.16,383
10.563057 deg,41.209538 deg,3.12e-13,5215.2,387
10.563459 deg,41.300377 deg,2.89e-14,59.03,95
10.563864 deg,41.228243 deg,1.16e-15,19.28,383
10.5645 deg,41.342111 deg,8.06e-14,1340.32,392
10.565303 deg,41.289109 deg,1.67e-13,3078.67,397
10.565845 deg,41.193333 deg,2.25e-15,36.18,387
10.566873 deg,41.264771 deg,1.95e-15,39.7,392
10.566912 deg,41.324009 deg,3.52e-14,634.17,402
10.567164 deg,41.370983 deg,3.98e-15,61.12,360
10.568694 deg,41.241854 deg,1.66e-15,34.15,388
10.569011 deg,41.26954 deg,3.08e-15,54.71,392
10.570773 deg,41.31561 deg,3.98e-15,65.56,407
10.570982 deg,41.252303 deg,3.42e-14,653.91,392
10.572063 deg,41.260258 deg,6.87e-14,1055.85,397
10.574327 deg,41.186194 deg,2.39e-15,35.26,387
10.574818 deg,41.14977 deg,4.09e-15,51.76,307
10.576408 deg,41.206546 deg,7.66e-13,13292.12,392
10.577639 deg,41.233825 deg,7.72e-13,13165.06,392
10.579101 deg,41.334574 deg,5.91e-15,117.74,411
10.581674 deg,41.226092 deg,5.76e-15,90.48,392
10.582137 deg,41.36511 deg,1.25e-14,205.87,402
10.583831 deg,41.140073 deg,9.13e-15,82.29,284
10.58483 deg,41.220421 deg,2.94e-15,5.04,141
10.585069 deg,41.314145 deg,1.87e-15,32.3,407
10.586273 deg,41.268972 deg,3.38e-15,28.43,447
10.586676 deg,41.228911 deg,3.6e-15,61.14,437
10.587243 deg,41.255601 deg,1.78e-15,36.81,397
10.587863 deg,41.30216 deg,3.12e-15,68.97,407
10.588672 deg,41.264563 deg,1.85e-14,303.34,519
10.588735 deg,41.263604 deg,2.42e-15,37.14,519
10.58951 deg,41.267 deg,5.53e-13,12665.85,565
10.589864 deg,41.23879 deg,5.15e-14,984.72,479
10.5908 deg,41.250586 deg,5.9e-15,30.64,280
10.590994 deg,41.201687 deg,1.14e-15,12.99,382
10.592934 deg,41.22925 deg,5.78e-15,56.87,479
10.592942 deg,41.206272 deg,1.36e-15,19.38,478
10.593185 deg,41.226441 deg,1.43e-14,63.11,199
10.593422 deg,41.226094 deg,2.58e-13,1457.22,267
10.594249 deg,41.376207 deg,2.89e-15,46.6,402
10.5956 deg,41.259787 deg,2.05e-12,53560.6,570
10.596231 deg,41.23586 deg,9.43e-15,64.08,303
10.596562 deg,41.235225 deg,7.8e-14,12.95,4
10.600453 deg,41.260276 deg,1.21e-15,18.63,449
10.600718 deg,41.292445 deg,2.85e-15,38.81,484
10.601428 deg,41.291698 deg,3.69e-15,48.25,525
10.602485 deg,41.31909 deg,6.7e-16,10.43,391
10.604524 deg,41.228273 deg,8.15e-15,33.99,341
10.604692 deg,41.227903 deg,9.94e-14,1016.32,469
10.608113 deg,41.32073 deg,1.84e-14,41.7,151
10.608538 deg,41.320786 deg,2.65e-13,1134.66,206
10.608816 deg,41.321037 deg,2.16e-14,77.73,234
10.610448 deg,41.229591 deg,1.15e-15,30.85,681
10.614482 deg,41.247899 deg,2.62e-15,67.1,656
10.615115 deg,41.346763 deg,8.68e-15,169.15,411
10.616373 deg,41.304897 deg,2.62e-15,54.75,464
10.616824 deg,41.302129 deg,1.84e-15,42.15,464
10.617151 deg,41.16714 deg,2.38e-14,58.0,151
10.617555 deg,41.166719 deg,4.48e-13,1658.2,187
10.617865 deg,41.206418 deg,9.51e-13,25732.42,574
10.618128 deg,41.24698 deg,1.51e-15,26.65,656
10.618431 deg,41.148473 deg,5.39e-15,65.42,378
10.618655 deg,41.327374 deg,1.14e-15,23.74,416
10.620094 deg,41.294807 deg,1.44e-15,31.25,541
10.620952 deg,41.242465 deg,1.2e-15,49.66,691
10.621229 deg,41.263284 deg,1.07e-15,34.14,619
10.621247 deg,41.230211 deg,5.65e-15,189.31,691
10.625444 deg,41.311614 deg,1.53e-15,21.46,464
10.626104 deg,41.281424 deg,1.09e-14,343.73,623
10.627295 deg,41.152753 deg,4.19e-15,42.49,433
10.629002 deg,41.319509 deg,1.5e-14,356.99,497
10.629732 deg,41.272662 deg,1.07e-12,34058.19,660
10.63017 deg,41.327467 deg,3.62e-13,7576.5,454
10.630454 deg,41.335494 deg,1.19e-14,248.89,454
10.631737 deg,41.216592 deg,1e-15,25.11,729
10.63363 deg,41.220674 deg,1.11e-12,36665.96,729
10.633683 deg,41.320269 deg,4.21e-15,96.99,497
10.634044 deg,41.329067 deg,8.2e-16,13.87,497
10.63552 deg,41.262599 deg,5.67e-15,165.76,734
10.636457 deg,41.219675 deg,1.12e-13,4157.08,729
10.63662 deg,41.21775 deg,4.59e-15,165.05,729
10.637104 deg,41.195179 deg,1.22e-15,12.67,433
10.637315 deg,41.195543 deg,9.24e-16,7.27,428
10.638557 deg,41.295061 deg,3.96e-14,1122.84,583
10.639215 deg,41.284293 deg,6.73e-15,226.57,660
10.639626 deg,41.360679 deg,1.03e-14,148.09,416
10.640875 deg,41.344441 deg,1.55e-15,35.99,454
10.641204 deg,41.272148 deg,1.65e-13,6190.88,777
10.641868 deg,41.380305 deg,2.38e-15,44.48,407
10.642301 deg,41.363852 deg,5.06e-14,987.81,416
10.643491 deg,41.302601 deg,1.58e-15,39.19,502
10.644869 deg,41.256437 deg,3.59e-15,128.54,734
10.646681 deg,41.334889 deg,2e-13,4677.22,497
10.647829 deg,41.268615 deg,1.71e-15,50.74,777
10.649507 deg,41.168747 deg,4.44e-15,102.15,564
10.650325 deg,41.339277 deg,1.86e-15,5.79,303
10.650549 deg,41.179561 deg,2.29e-15,44.65,569
10.652437 deg,41.2651 deg,6.5e-16,11.3,543
10.652541 deg,41.230651 deg,2.15e-14,727.92,734
10.65436 deg,41.241094 deg,6.27e-16,21.57,734
10.6577 deg,41.359387 deg,2.62e-15,51.56,421
10.659923 deg,41.336301 deg,5.23e-16,6.91,471
10.660768 deg,41.26768 deg,2.88e-12,102169.22,777
10.661096 deg,41.289935 deg,2.02e-15,77.44,781
10.661517 deg,41.257443 deg,1.87e-15,58.27,777
10.662589 deg,41.223775 deg,9.26e-16,18.9,734
10.66343 deg,41.240217 deg,5.71e-15,235.95,734
10.664736 deg,41.241248 deg,1.3e-13,5170.28,777
10.664877 deg,41.270569 deg,7.38e-14,2813.1,781
10.665204 deg,41.283536 deg,4.22e-15,163.55,781
10.665862 deg,41.248317 deg,6.96e-16,29.44,777
10.666502 deg,41.256147 deg,6.78e-16,19.76,777
10.666621 deg,41.263194 deg,4.65e-13,18366.61,777
10.667143 deg,41.274551 deg,3.91e-16,12.94,731
10.667528 deg,41.31252 deg,2.12e-13,5238.73,501
10.66857 deg,41.26276 deg,1.12e-15,37.5,777
10.668894 deg,41.232036 deg,4.99e-16,17.5,734
10.66904 deg,41.176236 deg,2.98e-15,13.57,267
10.669392 deg,41.224291 deg,3.29e-13,12645.0,734
10.669456 deg,41.175889 deg,2.7e-14,141.76,267
10.669679 deg,41.309248 deg,5.45e-16,7.56,506
10.669735 deg,41.167874 deg,4.25e-15,20.37,343
10.670241 deg,41.168198 deg,2.25e-15,13.56,351
10.670401 deg,41.371184 deg,7.66e-15,79.21,421
10.671195 deg,41.183832 deg,3.18e-15,21.54,271
10.671433 deg,41.305902 deg,4.62e-15,127.35,589
10.671558 deg,41.26257 deg,6.86e-16,11.38,647
10.672419 deg,41.257911 deg,7.57e-16,26.3,781
10.672646 deg,41.256612 deg,6.88e-14,2673.89,781
10.672779 deg,41.271631 deg,1.73e-14,684.74,785
10.673411 deg,41.243591 deg,1.6e-14,659.15,777
10.673511 deg,41.351504 deg,7.06e-14,1535.1,464
10.674119 deg,41.276628 deg,1.49e-14,606.56,785
10.675323 deg,41.258881 deg,5.33e-14,2061.33,781
10.675719 deg,41.268898 deg,1.02e-13,4067.62,785
10.675864 deg,41.320505 deg,3.98e-15,81.97,501
10.676359 deg,41.245953 deg,2.28e-13,9152.46,781
10.676525 deg,41.262477 deg,8.46e-16,33.82,785
10.676966 deg,41.264899 deg,3.27e-13,13608.33,785
10.677175 deg,41.283148 deg,4.24e-14,1687.04,785
10.677185 deg,41.266203 deg,5.47e-16,16.71,605
10.677661 deg,41.234732 deg,1.89e-15,75.8,781
10.677676 deg,41.279316 deg,1.58e-15,52.21,785
10.677988 deg,41.246268 deg,1.42e-15,54.76,781
10.678005 deg,41.248732 deg,1.28e-15,49.44,781
10.678147 deg,41.270615 deg,5.55e-16,13.0,675
10.678357 deg,41.327783 deg,1.46e-15,25.31,501
10.679136 deg,41.261973 deg,2.74e-13,10941.0,785
10.679549 deg,41.267765 deg,6.2e-16,15.02,664
10.679737 deg,41.274271 deg,7.45e-16,16.08,685
10.679946 deg,41.277799 deg,1.56e-14,625.4,785
10.680157 deg,41.266468 deg,8.03e-16,21.07,785
10.680455 deg,41.222062 deg,3.42e-14,1046.92,733
10.681923 deg,41.211638 deg,7.97e-16,13.46,697
10.682263 deg,41.275658 deg,3.5e-13,14819.06,785
10.68243 deg,41.253917 deg,3.11e-14,1294.26,781
10.682506 deg,41.270133 deg,4.05e-15,191.43,785
10.682744 deg,41.26773 deg,1.21e-13,5372.38,785
10.682856 deg,41.274912 deg,1.36e-13,5811.42,785
10.683 deg,41.298618 deg,4.64e-16,8.74,785
10.68306 deg,41.269634 deg,8.37e-14,3532.16,785
10.683258 deg,41.276926 deg,2.27e-15,84.18,785
10.683434 deg,41.279188 deg,7.01e-16,22.35,785
10.68384 deg,41.26777 deg,1.24e-15,54.55,744
10.684519 deg,41.270535 deg,2.95e-14,1274.29,785
10.684799 deg,41.269076 deg,1.95e-13,7531.62,776
10.684843 deg,41.268165 deg,1.19e-13,5251.45,785
10.684863 deg,41.268714 deg,2.65e-13,10063.08,776
10.684905 deg,41.199565 deg,1.1e-13,3699.21,691
10.685219 deg,41.161028 deg,1.86e-15,57.66,656
10.685391 deg,41.234466 deg,1.1e-15,39.24,781
10.685865 deg,41.300724 deg,9.23e-16,33.3,628
10.686111 deg,41.271693 deg,9.32e-14,3911.49,785
10.68641 deg,41.270741 deg,5.27e-16,19.35,634
10.686791 deg,41.19392 deg,6.88e-13,23533.23,749
10.687046 deg,41.294347 deg,9.33e-14,3830.7,785
10.687256 deg,41.252727 deg,6.89e-16,24.11,785
10.687271 deg,41.25522 deg,4.33e-16,8.25,614
10.687728 deg,41.255842 deg,8.98e-16,13.6,541
10.687858 deg,41.256426 deg,3.95e-14,1530.68,785
10.687878 deg,41.235294 deg,3.22e-14,1308.88,781
10.687946 deg,41.279346 deg,7.35e-16,20.6,785
10.687963 deg,41.272685 deg,3.73e-13,16272.56,785
10.687972 deg,41.261806 deg,3.22e-14,1369.39,785
10.687976 deg,41.260261 deg,8.13e-16,21.96,785
10.688385 deg,41.289521 deg,6.99e-14,2934.95,785
10.688449 deg,41.269744 deg,5.45e-14,2303.18,785
10.689701 deg,41.281212 deg,2.17e-15,78.41,785
10.689948 deg,41.269051 deg,9.23e-14,4019.25,785
10.689964 deg,41.268459 deg,8.71e-16,11.77,487
10.691347 deg,41.28099 deg,8.48e-16,10.13,507
10.691398 deg,41.176774 deg,1.18e-13,4216.02,708
10.691639 deg,41.272097 deg,4.95e-14,2102.49,785
10.692008 deg,41.293385 deg,2.16e-14,904.25,785
10.692168 deg,41.291308 deg,1.97e-15,73.99,785
10.692298 deg,41.261986 deg,4.29e-14,1755.71,785
10.693414 deg,41.269425 deg,6.97e-15,315.08,785
10.694694 deg,41.233222 deg,7.76e-16,32.25,781
10.695219 deg,41.268241 deg,8.73e-16,35.47,785
10.695418 deg,41.355387 deg,3.2e-14,698.12,464
10.695664 deg,41.270991 deg,5.46e-13,22259.86,785
10.695962 deg,41.291963 deg,4.21e-16,12.72,785
10.696132 deg,41.319666 deg,1.22e-15,22.2,579
10.696489 deg,41.272119 deg,1.33e-14,341.6,785
10.696516 deg,41.274558 deg,9.88e-13,39645.06,785
10.696532 deg,41.235289 deg,9.8e-14,3821.59,781
10.696541 deg,41.236948 deg,8.92e-16,21.41,781
10.696763 deg,41.199407 deg,2.91e-14,1073.15,749
10.697403 deg,41.142316 deg,2.12e-15,28.87,445
10.697769 deg,41.272009 deg,9.13e-16,16.76,706
10.697794 deg,41.257422 deg,7.23e-16,13.97,625
10.699153 deg,41.187163 deg,7.58e-14,2669.31,753
10.699413 deg,41.273032 deg,2.52e-14,1041.9,785
10.69947 deg,41.263797 deg,3.34e-14,1121.07,785
10.699524 deg,41.259127 deg,4.37e-13,17222.79,785
10.699655 deg,41.181304 deg,1.06e-14,393.44,748
10.699675 deg,41.267302 deg,8.46e-16,27.91,785
10.700481 deg,41.291535 deg,4.89e-16,13.72,785
10.701111 deg,41.342445 deg,2.24e-15,56.63,541
10.702178 deg,41.255877 deg,1.32e-12,53197.45,785
10.702539 deg,41.270254 deg,9.61e-16,37.45,785
10.702951 deg,41.273446 deg,5.21e-14,2108.27,785
10.703472 deg,41.296055 deg,1.07e-15,38.96,785
10.703484 deg,41.253587 deg,9.74e-16,22.5,785
10.704257 deg,41.329397 deg,4.12e-15,96.62,579
10.704652 deg,41.249058 deg,6.15e-16,23.65,785
10.704695 deg,41.209388 deg,1.72e-15,46.7,834
10.704713 deg,41.295002 deg,1.61e-14,653.74,785
10.704848 deg,41.273172 deg,1.12e-15,38.43,785
10.705093 deg,41.304405 deg,1.81e-13,5944.35,668
10.705104 deg,41.266984 deg,1.55e-13,6444.36,785
10.705934 deg,41.376442 deg,3.84e-15,74.15,459
10.708013 deg,41.28839 deg,7.69e-15,316.55,785
10.708193 deg,41.368302 deg,2.31e-15,47.93,464
10.709295 deg,41.303607 deg,1.97e-15,73.86,668
10.710063 deg,41.265713 deg,1.72e-15,40.08,776
10.710426 deg,41.265535 deg,1.17e-15,30.14,776
10.710832 deg,41.175956 deg,3.72e-15,15.69,215
10.711521 deg,41.175997 deg,1.37e-14,56.6,211
10.711686 deg,41.264318 deg,1.4e-15,52.11,785
10.711741 deg,41.285387 deg,1.56e-15,58.37,785
10.713225 deg,41.321613 deg,1.23e-14,377.0,617
10.713527 deg,41.268743 deg,1.01e-15,42.51,785
10.713947 deg,41.277715 deg,4.77e-16,16.7,785
10.715037 deg,41.283701 deg,7.85e-15,335.6,785
10.715111 deg,41.253383 deg,1.78e-15,72.36,785
10.715152 deg,41.322948 deg,9.43e-16,29.67,617
10.715164 deg,41.217459 deg,3.76e-14,1680.11,834
10.715809 deg,41.290911 deg,5.59e-15,251.96,785
10.717887 deg,41.292989 deg,1.43e-14,582.87,785
10.718055 deg,41.361792 deg,3.23e-15,63.64,459
10.718407 deg,41.280197 deg,8.44e-14,3331.05,785
10.718756 deg,41.367785 deg,1.24e-14,253.89,459
10.7188 deg,41.315092 deg,1.43e-12,45354.2,623
10.718818 deg,41.309673 deg,5.38e-15,181.8,623
10.718833 deg,41.261084 deg,3.19e-13,8483.33,785
10.719281 deg,41.224572 deg,6.46e-15,264.16,834
10.719694 deg,41.153227 deg,1.45e-15,13.56,374
10.721516 deg,41.239641 deg,2.45e-14,1004.8,843
10.722467 deg,41.187691 deg,1.68e-15,44.24,754
10.72328 deg,41.277502 deg,6.58e-16,17.11,785
10.725665 deg,41.343689 deg,1.23e-15,26.75,496
10.727835 deg,41.181661 deg,1.37e-15,20.04,716
10.728407 deg,41.336542 deg,1.37e-15,34.69,540
10.728761 deg,41.2716 deg,1.02e-15,34.65,844
10.728856 deg,41.267551 deg,8.63e-13,38384.65,843
10.729879 deg,41.310007 deg,6.94e-14,2209.77,662
10.731686 deg,41.309739 deg,6.18e-14,1971.97,662
10.733381 deg,41.205096 deg,1.19e-14,455.74,797
10.73489 deg,41.32078 deg,5.2e-16,13.25,585
10.73717 deg,41.31219 deg,3.45e-14,1099.79,662
10.73744 deg,41.334749 deg,6.56e-15,140.49,496
10.738148 deg,41.333124 deg,9.5e-16,23.17,496
10.739124 deg,41.202631 deg,2.02e-15,61.35,754
10.740153 deg,41.360466 deg,1.71e-15,24.56,459
10.741271 deg,41.184626 deg,7.79e-13,29174.13,754
10.741846 deg,41.222005 deg,2.89e-15,109.29,839
10.742116 deg,41.227104 deg,4.91e-15,207.62,839
10.742928 deg,41.300828 deg,9.24e-16,24.88,804
10.742964 deg,41.258113 deg,1.31e-13,5481.35,843
10.744187 deg,41.199769 deg,4.47e-15,93.99,658
10.744421 deg,41.2575 deg,2.33e-14,1055.68,843
10.745113 deg,41.199386 deg,1.3e-15,25.37,744
10.746194 deg,41.269939 deg,3.02e-15,75.52,843
10.746209 deg,41.199759 deg,2.09e-15,56.14,754
10.747924 deg,41.211748 deg,2.53e-14,960.08,796
10.748287 deg,41.321789 deg,7.96e-14,551.58,379
10.748554 deg,41.322045 deg,7.31e-13,5274.98,300
10.749382 deg,41.195203 deg,1.15e-15,22.89,754
10.749443 deg,41.268268 deg,7.59e-13,31897.04,843
10.753451 deg,41.230348 deg,3.75e-15,126.84,839
10.75369 deg,41.251186 deg,4.51e-16,10.7,743
10.754567 deg,41.231019 deg,1.64e-14,651.86,839
10.754738 deg,41.221457 deg,6.86e-15,303.67,839
10.756775 deg,41.181313 deg,1.11e-14,262.02,749
10.756907 deg,41.299235 deg,1.14e-15,29.45,799
10.757112 deg,41.304058 deg,6.77e-16,21.47,762
10.757403 deg,41.290676 deg,5.03e-15,172.04,843
10.758291 deg,41.280344 deg,9.24e-16,28.85,843
10.760245 deg,41.200821 deg,6.32e-15,12.31,109
10.760619 deg,41.200666 deg,2.53e-15,5.56,101
10.762206 deg,41.256274 deg,5.47e-13,22381.81,843
10.7623 deg,41.171111 deg,5.83e-15,27.72,312
10.762519 deg,41.344936 deg,3.51e-14,869.44,496
10.763093 deg,41.170926 deg,1.04e-13,551.73,308
10.763406 deg,41.257707 deg,5.77e-13,24166.08,843
10.763754 deg,41.356024 deg,2.41e-13,1155.57,211
10.766093 deg,41.301354 deg,6.58e-13,23420.68,799
10.767651 deg,41.267038 deg,8.92e-14,3748.57,843
10.768312 deg,41.278618 deg,1.21e-15,43.4,839
10.76978 deg,41.187167 deg,4.45e-15,168.9,754
10.771695 deg,41.192314 deg,2.05e-15,74.34,754
10.773642 deg,41.284086 deg,5.81e-13,20314.74,839
10.776819 deg,41.220584 deg,1.63e-15,52.34,796
10.777298 deg,41.321172 deg,4.46e-15,48.7,472
10.777539 deg,41.379002 deg,1.13e-14,5.75,14
10.778017 deg,41.321557 deg,4.78e-15,50.15,481
10.778043 deg,41.378985 deg,1.27e-14,5.74,14
10.778317 deg,41.320024 deg,7.68e-15,148.66,496
10.779647 deg,41.302805 deg,5.74e-15,146.12,637
10.781216 deg,41.338786 deg,7.17e-14,1674.97,496
10.785999 deg,41.213419 deg,1.53e-13,4788.55,714
10.791013 deg,41.316881 deg,1.07e-13,2594.98,496
10.792406 deg,41.288825 deg,1.71e-15,36.57,632
10.79425 deg,41.247571 deg,1.94e-12,60252.81,676
10.795672 deg,41.215496 deg,1.75e-15,17.68,522
10.797296 deg,41.302656 deg,3.53e-14,934.56,555
10.80508 deg,41.303663 deg,4.39e-14,1036.11,555
