Row,name,obsid,ra,dec,start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,_offset,"""dec2"""
1,M31_S2,37724001,00 42 22.28,40 53 12.5,2008-07-04T14:30:37,2015-10-14T00:00:00,3454.048,3530.711,3654,15/07/2008,23.3094,+40 53 12.5
2,AT2018cmi,10768002,00 42 21.85,40 55 12.1,2018-08-08T00:03:56,2018-08-18T00:00:00,2086.051,2040.34,2097,19/08/2018,21.3669,+40 55 12.1
3,AT2018cmi,10768001,00 42 28.18,40 56 48.2,2018-07-25T15:44:57,2018-08-04T00:00:00,1609.135,1608.07,1623,05/08/2018,19.5788,+40 56 48.2
4,BOL_82,88162003,00 42 19.48,40 57 43.1,2018-10-16T17:41:03,2018-10-26T00:00:00,2735.46,2732.501,2747,27/10/2018,19.0125,+40 57 43.1
5,"Non-GRB (10.903, 40.972)",32154001,00 43 36.62,40 58 20.1,2011-11-01T15:38:18,2016-10-13T00:00:00,82.731,81.302,88,12/11/2011,20.3482,+40 58 20.1
6,"Non-GRB (10.910, 40.973)",32162001,00 43 38.37,40 58 23.1,2011-11-01T18:52:56,2016-10-13T00:00:00,466.448,462.29,477,12/11/2011,20.467,+40 58 23.1
7,"Non-GRB (10.452, 40.974)",32155001,00 41 48.54,40 58 24.6,2011-11-01T15:40:04,2016-10-13T00:00:00,82.731,80.022,88,12/11/2011,20.6143,+40 58 24.6
8,"Non-GRB (10.453, 40.975)",32163001,00 41 48.62,40 58 31.7,2011-11-01T18:58:15,2016-10-13T00:00:00,481.255,477.968,449,12/11/2011,20.5058,+40 58 31.7
9,Bol111,31017010,00 42 24.8,40 58 55.9,2008-01-03T10:30:01,2015-09-11T00:00:00,2014.204,2008.753,2077,14/01/2008,17.6297,+40 58 55.9
10,AT2020qxo,13659001,00 42 04.80,40 59 10.4,2020-08-16T19:10:34,2020-08-26T00:00:00,2166.823,2165.994,2203,27/08/2020,18.5329,+40 59 10.4
11,M31_S3,37725004,00 43 05.38,40 59 30.1,2009-09-04T13:30:00,2016-04-09T00:00:00,2609.756,2578.185,2666,15/09/2009,17.1073,+40 59 30.1
12,Bol111,31017012,00 42 24.84,40 59 38.9,2008-01-09T23:59:01,2015-09-11T00:00:00,1741.08,1960.385,1994,20/01/2008,16.9003,+40 59 38.9
13,Bol111,31017007,00 42 29.24,40 59 42.8,2007-12-22T09:18:01,2015-08-28T00:00:00,2133.847,2133.304,2236,02/01/2008,16.6744,+40 59 42.8
14,M31_S3,37725001,00 43 06.75,40 59 45.8,2008-07-04T12:28:01,2015-10-14T00:00:00,97.763,96.064,143,15/07/2008,16.9148,+40 59 45.8
15,Bol111,31017009,00 42 25.13,40 59 52.7,2007-12-30T03:37:00,2015-08-28T00:00:00,2297.84,2297.744,2383,10/01/2008,16.6638,+40 59 52.7
16,Bol111,31017003,00 42 24.64,40 59 58.5,2007-12-13T00:26:01,2015-08-05T00:00:00,3052.084,3051.231,3151,24/12/2007,16.5899,+40 59 58.5
17,Bol111,31017006,00 42 28.55,40 59 58.9,2007-12-20T05:55:00,2015-08-28T00:00:00,2231.141,2235.027,2302,31/12/2007,16.4335,+40 59 58.9
18,Bol111,31017008,00 42 29.34,41 00 04.5,2007-12-24T07:53:00,2015-08-28T00:00:00,2259.554,2259.674,2297,04/01/2008,16.3157,+41 00 04.5
19,Bol111,31017005,00 42 23.57,41 00 12.7,2007-12-15T00:38:01,2015-08-05T00:00:00,3215.939,3209.234,3296,26/12/2007,16.4054,+41 00 12.7
20,AT2020qxo,13659005,00 42 05.39,41 00 21.5,2020-08-21T21:40:35,2020-08-31T00:00:00,3703.86,3700.032,0,01/09/2020,17.4074,+41 00 21.5
21,Bol111,31017011,00 42 32.70,41 00 23.6,2008-01-06T05:53:00,2015-09-11T00:00:00,1887.974,1884.974,1935,17/01/2008,15.9035,+41 00 23.6
22,AT2020qxo,13659002,00 41 53.95,41 00 25.1,2020-08-17T09:18:44,2020-08-27T00:00:00,2078.641,2066.488,2101,28/08/2020,18.3672,+41 00 25.1
23,BOL_82,88162001,00 42 00.55,41 00 37.5,2017-11-07T19:47:57,2017-11-17T00:00:00,2041.132,2043.937,2065,18/11/2017,17.5738,+41 00 37.5
24,Bol111,31017004,00 42 24.74,41 00 39.3,2007-12-14T00:32:01,2015-08-05T00:00:00,2977.209,2970.801,3055,25/12/2007,15.9226,+41 00 39.3
25,Bol111,31017002,00 42 30.42,41 00 56.8,2007-11-19T06:24:01,2015-08-04T00:00:00,5315.394,5310.122,5473,30/11/2007,15.4222,+41 00 56.8
26,M31_S3,37725003,00 43 14.7,41 01 24.3,2009-08-23T07:11:00,2016-04-09T00:00:00,439.371,430.35,457,03/09/2009,15.7655,+41 01 24.3
27,AT2020qxo,13659004,00 42 06.91,41 01 25.8,2020-08-19T13:29:35,2020-08-29T00:00:00,1717.345,1714.692,0,30/08/2020,16.3148,+41 01 25.8
28,Bol111,31017001,00 42 26.93,41 01 39.8,2007-11-18T09:31:11,2015-08-04T00:00:00,1855.803,1851.324,1904,29/11/2007,14.8469,+41 01 39.8
29,M31_Field_K,88741001,00 43 03.76,41 01 58.1,2018-12-24T20:42:36,2019-01-03T00:00:00,1363.941,1364.993,1379,04/01/2019,14.6391,+41 01 58.1
30,M31_C3,37718002,00 41 43.31,41 02 26.9,2009-10-28T08:35:00,2016-04-26T00:00:00,7228.015,7142.767,7342,08/11/2009,17.8768,+41 02 26.9
31,M31_S3,37725002,00 43 10.1,41 02 37.8,2008-07-09T10:03:01,2015-10-14T00:00:00,2535.267,2613.446,2697,20/07/2008,14.3507,+41 02 37.8
32,BOL_82,88162002,00 42 11.37,41 02 38.9,2018-01-13T04:13:57,2018-01-23T00:00:00,1894.718,1891.517,1307,24/01/2018,14.8542,+41 02 38.9
33,SwiftJ004327.6+410452,33088003,00 43 30.11,41 03 29.2,2014-05-29T00:17:00,2018-02-19T00:00:00,4041.752,4037.442,4060,09/06/2014,15.3087,+41 03 29.2
34,SwiftJ004234.8+410417,33351002,00 42 45.15,41 04 10.1,2014-08-01T01:28:59,2018-02-28T00:00:00,2013.875,2013.982,2029,12/08/2014,11.9768,+41 04 10.1
